Name,RequiredServices,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
EFS,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Encrypting File System (EFS),System.ServiceProcess.ServiceController[],.,EFS,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
ehRecvr,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Media Center Receiver Service,System.ServiceProcess.ServiceController[],.,ehRecvr,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
ehSched,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Media Center Scheduler Service,System.ServiceProcess.ServiceController[],.,ehSched,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
eventlog,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Windows Event Log,System.ServiceProcess.ServiceController[],.,eventlog,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
EventSystem,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,COM+ Event System,System.ServiceProcess.ServiceController[],.,EventSystem,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
EvtEng,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Intel(R) PROSet/Wireless Event Log,System.ServiceProcess.ServiceController[],.,EvtEng,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
Fax,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Fax,System.ServiceProcess.ServiceController[],.,Fax,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
fdPHost,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Function Discovery Provider Host,System.ServiceProcess.ServiceController[],.,fdPHost,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
FDResPub,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Function Discovery Resource Publication,System.ServiceProcess.ServiceController[],.,FDResPub,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
FontCache,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Windows Font Cache Service,System.ServiceProcess.ServiceController[],.,FontCache,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
